node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,dist_from_mean_coordinate
119,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.00541412690654397
120,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.0055137863382697105
121,7,unclassified,0.0,0.0,575.0,,13.0,1,1,2,0 isolated,,0.003767414717003703
122,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.006470805499702692
123,0,cycleway,2.0,0.0,575.0,0.5,30.0,1,1,2,2 path,mixed,0.006434727925807238
124,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0010644032154232264
125,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.0012417648686096072
126,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.003636755049228668
127,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.003677567932754755
128,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0045121535658836365
129,3,residential,0.0,0.0,575.0,,260.0,0,0,4,0 isolated,,0.00470148166641593
130,0,cycleway,1.0,0.0,575.0,1.0,30.0,1,1,2,1 tip,1 all neighbours foreign,0.012093701399862766
131,8,Unclassified,0.0,0.0,1.0,,13.0,1,1,3,0 isolated,,0.011132966727018356
132,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,3,2 path,0 no foreign neighbour,0.010978949256241322
133,3,residential,0.0,0.0,575.0,,260.0,0,0,3,0 isolated,,0.010089697316288948
134,5,service,3.0,0.0,575.0,0.3333333333333333,116.0,1,1,3,3+ branch,mixed,0.009996509179472923
135,5,service,1.0,0.0,575.0,0.0,116.0,1,1,3,1 tip,0 no foreign neighbour,0.010445033200085163
136,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,3,2 path,mixed,0.010468699038028717
137,3,residential,3.0,0.0,575.0,0.0,260.0,0,0,3,3+ branch,0 no foreign neighbour,0.00852103903889656
138,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.0026220313739031553
139,4,secondary,2.0,0.0,575.0,0.5,46.0,1,1,2,2 path,mixed,0.0034420040901750326
140,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,8,2 path,mixed,0.005588787142187357
141,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.005890791304409504
142,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.007689983118325472
143,2,path,0.0,0.0,575.0,,70.0,0,0,8,0 isolated,,0.004556853324174881
144,2,path,2.0,0.0,575.0,0.5,70.0,1,1,2,2 path,mixed,0.0072768875397741795
145,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0068392385728657246
146,3,residential,1.0,0.0,575.0,1.0,260.0,0,0,2,1 tip,1 all neighbours foreign,0.0063904873095452785
147,5,service,0.0,0.0,575.0,,116.0,1,1,0,0 isolated,,0.006290734279900789
148,3,residential,0.0,0.0,575.0,,260.0,0,0,6,0 isolated,,0.008842039853334427
149,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.011431294493377209
150,7,unclassified,1.0,0.0,575.0,0.0,13.0,1,1,2,1 tip,0 no foreign neighbour,0.011675003916025162
151,0,cycleway,2.0,0.0,575.0,0.5,30.0,1,1,2,2 path,mixed,0.011920500546693802
152,2,path,1.0,0.0,575.0,0.0,70.0,0,0,8,1 tip,0 no foreign neighbour,0.004969373345375061
153,7,unclassified,2.0,0.0,575.0,1.0,13.0,1,1,8,2 path,1 all neighbours foreign,0.005001151002943516
154,2,path,1.0,0.0,575.0,0.0,70.0,0,0,8,1 tip,0 no foreign neighbour,0.004560037981718779
155,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,8,2 path,mixed,0.002937398850917816
156,1,footway,0.0,0.0,575.0,,39.0,1,1,2,0 isolated,,0.002204776741564274
157,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,2,1 tip,0 no foreign neighbour,0.007133748382329941
158,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,2,1 tip,0 no foreign neighbour,0.007627587299793959
159,7,unclassified,1.0,0.0,575.0,1.0,13.0,1,1,8,1 tip,1 all neighbours foreign,0.009560097940266132
160,5,service,1.0,0.0,575.0,0.0,116.0,1,1,2,1 tip,0 no foreign neighbour,0.010759725235402584
161,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.011062560603022575
162,5,service,1.0,0.0,575.0,1.0,116.0,1,1,5,1 tip,1 all neighbours foreign,0.008749579079449177
163,4,secondary,1.0,0.0,575.0,0.0,46.0,0,0,5,1 tip,0 no foreign neighbour,0.008463545702397823
164,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.006557483691722155
165,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,4,2 path,mixed,0.006299410481005907
166,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.007723541930317879
167,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.004614476580172777
168,1,footway,1.0,0.0,575.0,1.0,39.0,1,1,0,1 tip,1 all neighbours foreign,0.004705100320279598
169,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,0,1 tip,0 no foreign neighbour,0.0051123835146427155
170,2,path,3.0,0.0,575.0,0.0,70.0,1,1,7,3+ branch,0 no foreign neighbour,0.007919608615338802
171,2,path,1.0,0.0,575.0,1.0,70.0,1,1,4,1 tip,1 all neighbours foreign,0.006918811704963446
172,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.007487332448363304
173,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.002290181815624237
174,4,secondary,1.0,0.0,575.0,1.0,46.0,1,1,2,1 tip,1 all neighbours foreign,0.003583605168387294
175,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,4,2 path,0 no foreign neighbour,0.004137096926569939
176,5,service,2.0,0.0,575.0,0.0,116.0,0,0,7,2 path,0 no foreign neighbour,0.009609702043235302
177,5,service,0.0,0.0,575.0,,116.0,0,0,7,0 isolated,,0.009577973745763302
178,5,service,1.0,0.0,575.0,0.0,116.0,0,0,7,1 tip,0 no foreign neighbour,0.006993078161031008
179,5,service,0.0,0.0,575.0,,116.0,1,1,4,0 isolated,,0.006723177619278431
180,5,service,2.0,0.0,575.0,0.0,116.0,0,0,7,2 path,0 no foreign neighbour,0.007451736368238926
181,5,service,1.0,0.0,575.0,0.0,116.0,0,0,7,1 tip,0 no foreign neighbour,0.007322376593947411
182,5,service,0.0,0.0,575.0,,116.0,0,0,7,0 isolated,,0.008471054024994373
183,5,service,2.0,0.0,575.0,0.0,116.0,0,0,7,2 path,0 no foreign neighbour,0.008808650076389313
184,5,service,0.0,0.0,575.0,,116.0,0,0,7,0 isolated,,0.00874316692352295
185,1,footway,0.0,0.0,575.0,,39.0,1,1,4,0 isolated,,0.005334800574928522
186,3,residential,0.0,0.0,575.0,,260.0,0,0,4,0 isolated,,0.003654090454801917
187,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,4,2 path,mixed,0.005093039944767952
188,3,residential,2.0,0.0,575.0,0.0,260.0,1,0,7,2 path,0 no foreign neighbour,0.008814315311610699
189,3,residential,0.0,0.0,575.0,,260.0,1,0,7,0 isolated,,0.008196452632546425
190,4,secondary,2.0,0.0,575.0,0.5,46.0,1,1,4,2 path,mixed,0.004114374052733183
191,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,1,2 path,mixed,0.005663033574819565
192,5,service,0.0,0.0,575.0,,116.0,1,1,1,0 isolated,,0.005999211687594652
193,5,service,2.0,0.0,575.0,0.0,116.0,1,1,3,2 path,0 no foreign neighbour,0.009850507602095604
194,5,service,0.0,0.0,575.0,,116.0,1,1,3,0 isolated,,0.009555873461067677
195,5,service,2.0,0.0,575.0,0.0,116.0,1,1,3,2 path,0 no foreign neighbour,0.009816378355026245
196,5,service,0.0,0.0,575.0,,116.0,1,1,3,0 isolated,,0.009607815183699131
197,5,service,1.0,0.0,575.0,0.0,116.0,1,1,3,1 tip,0 no foreign neighbour,0.010847938247025013
198,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,3,2 path,0 no foreign neighbour,0.010748717933893204
199,3,residential,0.0,0.0,575.0,,260.0,0,0,3,0 isolated,,0.010143590159714222
200,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,3,2 path,0 no foreign neighbour,0.010388916358351707
201,3,residential,0.0,0.0,575.0,,260.0,0,0,3,0 isolated,,0.009874860756099224
202,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,8,2 path,mixed,0.006267203018069267
203,5,service,0.0,0.0,575.0,,116.0,1,1,8,0 isolated,,0.006935725454241037
204,5,service,2.0,0.0,575.0,0.0,116.0,0,0,7,2 path,0 no foreign neighbour,0.007044311612844467
205,5,service,2.0,0.0,575.0,0.5,116.0,0,0,7,2 path,mixed,0.006841694470494986
206,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,2,1 tip,0 no foreign neighbour,0.002813515951856971
207,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,4,2 path,0 no foreign neighbour,0.007027484942227602
208,3,residential,0.0,0.0,575.0,,260.0,0,0,4,0 isolated,,0.006970044691115618
209,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,4,2 path,mixed,0.006688837893307209
210,5,service,0.0,0.0,575.0,,116.0,1,1,4,0 isolated,,0.006626741960644722
211,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.007545829750597477
212,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.00792835932224989
213,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.0043044863268733025
214,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,2,1 tip,0 no foreign neighbour,0.004357604309916496
215,0,cycleway,2.0,0.0,575.0,0.5,30.0,1,1,2,2 path,mixed,0.002682669786736369
216,1,footway,2.0,0.0,575.0,0.5,39.0,1,1,2,2 path,mixed,0.0025711623020470142
217,4,secondary,1.0,0.0,575.0,1.0,46.0,1,1,2,1 tip,1 all neighbours foreign,0.0026293685659766197
218,5,service,0.0,0.0,575.0,,116.0,1,1,5,0 isolated,,0.008295126259326935
219,5,service,0.0,0.0,575.0,,116.0,1,1,5,0 isolated,,0.00991109386086464
220,1,footway,2.0,1.0,575.0,0.0,39.0,1,1,2,2 path,0 no foreign neighbour,0.0023276268038898706
221,1,footway,2.0,1.0,575.0,0.0,39.0,1,1,2,2 path,0 no foreign neighbour,0.0019936058670282364
222,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0017633694224059582
223,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.001184813678264618
224,1,footway,1.0,0.0,575.0,1.0,39.0,1,1,2,1 tip,1 all neighbours foreign,0.001743340166285634
225,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.005013162270188332
226,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.005110448691993952
227,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.004809749778360128
228,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.004833817481994629
229,5,service,0.0,0.0,575.0,,116.0,1,1,2,0 isolated,,0.00472624134272337
230,3,residential,1.0,0.0,575.0,1.0,260.0,0,0,6,1 tip,1 all neighbours foreign,0.007823030464351177
231,7,unclassified,1.0,0.0,575.0,1.0,13.0,1,1,6,1 tip,1 all neighbours foreign,0.008566992357373238
232,5,service,1.0,0.0,575.0,1.0,116.0,1,1,0,1 tip,1 all neighbours foreign,0.005071365274488926
233,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,0,2 path,mixed,0.005577045492827892
234,5,service,1.0,0.0,575.0,1.0,116.0,1,1,6,1 tip,1 all neighbours foreign,0.007103543262928724
235,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.006751646287739277
236,8,Unclassified,0.0,0.0,1.0,,13.0,1,1,6,0 isolated,,0.007262985687702894
237,8,Unclassified,0.0,0.0,1.0,,13.0,1,1,0,0 isolated,,0.005453611258417368
238,5,service,1.0,0.0,575.0,1.0,116.0,1,1,0,1 tip,1 all neighbours foreign,0.005577596370130777
239,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.006058096420019865
240,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,6,2 path,mixed,0.005573075730353594
241,5,service,0.0,0.0,575.0,,116.0,1,1,0,0 isolated,,0.005306426435709
242,5,service,0.0,0.0,575.0,,116.0,1,1,6,0 isolated,,0.008990583010017872
243,5,service,1.0,0.0,575.0,1.0,116.0,1,1,0,1 tip,1 all neighbours foreign,0.006684975232928991
244,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.007131026592105627
245,5,service,1.0,0.0,575.0,1.0,116.0,1,1,0,1 tip,1 all neighbours foreign,0.004904425702989101
246,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,0,1 tip,0 no foreign neighbour,0.005316773895174265
247,5,service,1.0,0.0,575.0,1.0,116.0,1,1,6,1 tip,1 all neighbours foreign,0.009769264608621597
248,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,6,2 path,0 no foreign neighbour,0.009526984766125679
249,5,service,1.0,0.0,575.0,1.0,116.0,1,1,6,1 tip,1 all neighbours foreign,0.007331385742872953
250,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.006950814742594957
251,5,service,1.0,0.0,575.0,1.0,116.0,1,1,0,1 tip,1 all neighbours foreign,0.0065592071041464806
252,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,6,2 path,mixed,0.006047309376299381
253,5,service,1.0,0.0,575.0,1.0,116.0,1,1,6,1 tip,1 all neighbours foreign,0.007654767949134111
254,5,service,1.0,0.0,575.0,1.0,116.0,1,1,6,1 tip,1 all neighbours foreign,0.00926177203655243
255,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,6,1 tip,0 no foreign neighbour,0.00907245371490717
256,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,5,2 path,mixed,0.006097407080233097
